"id","name","description","lon","lat","bbox.lon1","bbox.lat1","bbox.lon2","bbox.lat2","scope","download_url","info_url","licence","access","storage","five.stars.score","file.format","date_publication","date_last-update","material1","material2","material3","material4","material5","measurement_type1","measurement_type2","measurement_type3","measurement_type4","notes"
1,"Indo-Pacific Pollen Database","An effort to assemble pollen data from a region extending from the Indian to the Pacific Ocean",,,98.08,34.25,-179.95,-54.5,"multisite","http://hdl.handle.net/1885/144167","https://doi.org/10.5194/cp-20-2473-2024","CC-BY-4.0","open",,2,"XLS",2018,,"botanical",,,,,,,,,
2,"AustArch1","A database of 14C and luminescence ages from archaeological sites in the Australian arid zone",,,113.1,-9.3815,153.63,-43.52,"multisite","https://doi.org/10.5284/1027216","https://doi.org/10.11141/ia.36.6","?","open",,3,"CSV",2014,,"charcoal","shell","bones","eggshell",,"radiocarbon","TL/OSL","U/Th",,
3,"Pofatu","An open-access database for geochemical sourcing of archaeological materials",,,107.437,22.07251,-179.957172,-46.631317,"multisite","https://doi.org/10.5281/zenodo.3634435","https://pofatu.clld.org/","CC-BY-4.0","open",,3,"CSV",2020,2023,"lithic",,,,,"pXRF",,,,
5,"ROAD","ROCEEH Out of Africa Database",,,-17.2,73.341,136.807,-8.692,"multisite","https://www.roceeh.uni-tuebingen.de/roadweb/smarty_road_simple_search.php?","https://doi.org/10.1371/journal.pone.0289513","CC-BY-SA-4.0","open",,"NA","CSV",2023,2024,"lithic","bones","botanical","organic tools",,"radiocarbon",,,,
6,"SahulArch Radiocarbon collection","Database of published radiocarbon ages for archaeological records from Sahul",,,113.060322,-1.337417,154.866325,-43.736336,"multisite","https://octopusdata.org/","https://doi.org/10.5194/essd-14-3695-2022","CC-BY-4.0","open",,"NA","CSV",2022,2024,"charcoal","shell","bones","eggshell","botanical","radiocarbon","TL/OSL","U/Th",,
7,"FosSahul","An updated database for the Late Quaternary fossil records of Sahul",,,113.4,-2.6,153.4,-42.8,"multisite","https://doi.org/10.6084/m9.figshare.8796944.v3","https://doi.org/10.1038/s41597-019-0267-3","CC0","open",,3,"CSV",2019,2021,"bones",,,,,,,,,
8,"Lapita Pottery Database","Internet-based database for the study of Lapita pottery",,,149.544381,21.046989,177.738853,-22.693644,"multisite","https://lapita.ihp.sinica.edu.tw",,"?","failing",,"NA","HTML",,2014,"pottery",,,,,,,,,
9,"Traces in the Lost Landscape","Aboriginal archaeological sites, Nepean River and contiguous areas in New South Wales",,,150.2985564,-33.61953442,150.7239623,-33.78832688,"multisite","https://doi.org/10.6078/M7CR5R8Z",,"CC-BY-4.0","open",,4,"CSV",2016,,"lithic","pottery","glass",,,,,,,
10,"Kuden","Pacific Pottery Fabric Database",,,121.2816,35.98624,-139.0107,-22.61898,"multisite","https://kudenfabrics.anu.edu.au/","www.kudenfabrics.anu.edu.au","CC-BY-NC-4.0","open",,"NA","HTML",2023,2025,"pottery",,,,,"petrography","photography",,,
11,"Rice Archaeological Database","Rice Archaeological Database",,,67.81885,40.81039,145.20236,-8.09755,"multisite","https://doi.org/10.1371/journal.pone.0137024.s001","https://doi.org/10.1371/journal.pone.0137024","CC-BY-4.0","open",,3,"CSV",2015,,"rice",,,,,,,,,
12,"p3k14c","The PEOPLE 3000 Radiocarbon Database",,,171.6952,71.9053,-163.983733385691,-55.192542,"multisite","https://www.p3k14c.org/","https://doi.org/10.1038/s41597-022-01118-7","?","open",,3,"CSV",2022,,"charcoal","shell","bones","eggshell","botanical","radiocarbon",,,,
13,"eripe1","Excavation data from Eripe 1 rock shelter, Papua New Guinea",144.8596444,-6.8363598,,,,,"single site","https://doi.org/10.5281/zenodo.11649250","https://analytics.huma-num.fr/archeoviz/eripe1","CC-BY-4.0","embargoed",,3,"CSV",2025,,"lithic","bones",,,,,,,,
14,"Spirit cave","Archaeological Databases for Spirit Cave, Mae Hong Son Province, Thailand",98.281083,19.567806,,,,,"single site","http://hdl.handle.net/1928/26730","https://digitalrepository.unm.edu/anthro_data/4/","MIT","open",,3,"CSV",2015,,"bones","pottery","lithic","botanical",,,,,,
15,"Jerimalai","Pleistocene-aged stone artefacts from Jerimalai, East Timor",127.268333,-8.393889,,,,,"single site","https://doi.org/10.6084/m9.figshare.985406.v14","https://doi.org/10.1016/j.jhevol.2016.09.004","CC-BY-4.0","open",,3,"CSV",2014,,"lithic",,,,,"radiocarbon","morphometrics","technology",,"check Liang Bua"
16,"Lithic technology Asia","Spatiotemporal variability in lithic technology of Middle-to-Upper Paleolithic Asia",,,30.55,70.7167,142.662,-8.5167,"multisite","https://ars.els-cdn.com/content/image/1-s2.0-S1040618221001713-mmc3.xlsx","https://doi.org/10.1016/j.quaint.2021.03.022","CC-BY-4.0","open",,2,"XLSX",2021,,"lithic",,,,,,,,,
